role,cos_bare_last,cos_bare_mean,cos_context_last,cos_context_mean
grandparent,-0.03704870864748955,-0.00112982839345932,-0.06685515493154526,-0.06685515493154526
guardian,-0.05495033413171768,-4.688650369644165e-05,-0.059365324676036835,-0.082245372235775
guide,0.05765148252248764,0.05765148252248764,-0.08620137721300125,-0.0985836386680603
guru,-0.03437257558107376,0.008077424019575119,-0.06428185105323792,-0.0765070766210556
hacker,-0.035227805376052856,0.009209081530570984,-0.031118974089622498,-0.05630049109458923
healer,-0.021889209747314453,0.01859138533473015,-0.0283052995800972,-0.057646773755550385
hedonist,-0.08806225657463074,-0.07703392952680588,-0.12422902882099152,-0.13855674862861633
hermit,-0.041723817586898804,0.009866274893283844,-0.04456835612654686,-0.04456835612654686
historian,-0.06360626220703125,-0.027485616505146027,-0.1195489913225174,-0.11816653609275818
hive,0.07160261273384094,0.07160261273384094,-0.0014971643686294556,-0.05730944126844406
hoarder,-0.043248772621154785,-0.03472364693880081,-0.06154060363769531,-0.06249051168560982
homunculus,-0.03368934616446495,-0.02431803196668625,-0.049954406917095184,-0.05582870543003082
hybrid,-0.05395045503973961,-0.017371634021401405,-0.11215642839670181,-0.11618725955486298
idealist,-0.0514729879796505,-0.015354778617620468,-0.07229453325271606,-0.07229453325271606
immigrant,-0.061436254531145096,-0.01864556595683098,-0.046161532402038574,-0.07791279256343842
improviser,-0.05605027452111244,-0.06917300820350647,-0.09624531865119934,-0.09624531865119934
infant,-0.03358127176761627,0.002798639237880707,-0.008801594376564026,-0.059237219393253326
influencer,-0.08590495586395264,-0.08058284223079681,-0.1020892858505249,-0.1020892858505249
instructor,-0.09212659299373627,-0.045701511204242706,-0.0658140629529953,-0.07877731323242188
interpreter,0.10111653804779053,0.10111653804779053,-0.03165792301297188,-0.05854284018278122
interviewer,-0.0782599151134491,-0.06732252985239029,-0.06595509499311447,-0.08294080942869186
jester,-0.021475542336702347,0.010086722671985626,-0.01917976886034012,-0.01917976886034012
journalist,-0.06923788040876389,-0.028767088428139687,-0.09953607618808746,-0.10574226826429367
judge,0.08449820429086685,0.08449820429086685,-0.0895429328083992,-0.09758322685956955
lawyer,-0.04217434674501419,0.00012609362602233887,-0.07734313607215881,-0.09013119339942932
leviathan,0.012039165943861008,0.029124215245246887,0.04127446562051773,0.028475597500801086
librarian,-0.044636502861976624,-0.0077289193868637085,-0.08266813308000565,-0.10470348596572876
linguist,-0.08435357362031937,-0.07660648971796036,-0.13260290026664734,-0.13260290026664734
loner,-0.030494946986436844,0.01709543913602829,-0.04808001592755318,-0.04808001592755318
luddite,-0.053179074078798294,-0.02551891654729843,-0.073387011885643,-0.065218485891819
marketer,-0.05197971686720848,-0.009073678404092789,-0.08402165025472641,-0.09653393924236298
