role,alpha,steered_score,aa_score,advantage
altruist,2.5,74.3859649122807,25.74561403508772,48.64035087719298
amateur,1.0,65.50877192982456,63.14912280701754,2.3596491228070207
amateur,1.5,76.64473684210526,69.64473684210526,7.0
amateur,2.0,84.7719298245614,57.56578947368421,27.206140350877185
amateur,2.5,89.09649122807018,27.67543859649123,61.421052631578945
ambassador,1.0,69.85087719298245,71.03070175438596,-1.1798245614035068
ambassador,1.5,70.41228070175438,70.90350877192982,-0.49122807017543835
ambassador,2.0,69.12280701754386,50.68421052631579,18.438596491228076
ambassador,2.5,64.94736842105263,14.342105263157896,50.60526315789473
amnesiac,1.0,39.49561403508772,37.28947368421053,2.2061403508771917
amnesiac,1.5,46.27192982456141,43.16666666666666,3.105263157894754
amnesiac,2.0,63.51315789473684,42.31140350877193,21.20175438596491
amnesiac,2.5,79.15350877192982,26.38157894736842,52.7719298245614
analyst,1.0,86.3201754385965,85.9342105263158,0.3859649122806985
analyst,1.5,85.31140350877193,82.69298245614036,2.618421052631575
analyst,2.0,84.50877192982456,54.62280701754386,29.8859649122807
analyst,2.5,81.89035087719299,17.960526315789473,63.929824561403514
anarchist,1.0,30.385964912280706,30.70614035087719,-0.3201754385964861
anarchist,1.5,36.57017543859649,34.01315789473684,2.5570175438596507
anarchist,2.0,45.64912280701754,28.98245614035088,16.66666666666666
anarchist,2.5,57.3421052631579,15.043859649122806,42.29824561403509
ancient,1.0,42.99561403508772,44.6359649122807,-1.6403508771929793
ancient,1.5,44.26315789473684,48.1140350877193,-3.850877192982459
ancient,2.0,47.98684210526316,40.04824561403509,7.938596491228068
ancient,2.5,51.083333333333336,11.614035087719298,39.46929824561404
angel,1.0,65.93859649122807,66.99122807017544,-1.05263157894737
angel,1.5,72.46929824561404,71.49561403508773,0.973684210526315
angel,2.0,82.94298245614036,62.37719298245614,20.56578947368422
angel,2.5,89.60087719298245,18.33333333333333,71.26754385964912
anthropologist,1.0,61.75438596491228,60.86842105263158,0.8859649122806985
anthropologist,1.5,65.48684210526316,61.10087719298246,4.385964912280706
anthropologist,2.0,71.15789473684211,47.55701754385965,23.60087719298246
anthropologist,2.5,75.2280701754386,17.214912280701753,58.01315789473685
archaeologist,1.0,44.71491228070175,41.90350877192982,2.8114035087719316
archaeologist,1.5,48.62719298245614,42.73245614035088,5.89473684210526
archaeologist,2.0,53.14035087719298,28.76315789473684,24.37719298245614
archaeologist,2.5,58.15350877192982,14.276315789473683,43.87719298245614
architect,1.0,54.61572052401747,56.1528384279476,-1.537117903930131
architect,1.5,56.11353711790393,56.38864628820961,-0.27510917030567583
architect,2.0,57.39737991266376,37.109170305676855,20.288209606986904
architect,2.5,58.49561403508772,13.771929824561404,44.723684210526315
archivist,1.0,59.04824561403509,50.44298245614035,8.60526315789474
archivist,1.5,62.48684210526316,52.10526315789474,10.381578947368418
archivist,2.0,71.85526315789474,36.60526315789474,35.25
archivist,2.5,78.8640350877193,13.157894736842104,65.70614035087719
artisan,1.0,56.49781659388646,55.60698689956332,0.8908296943231448
artisan,1.5,64.28384279475982,58.17903930131004,6.104803493449779
artisan,2.0,74.96943231441048,45.8471615720524,29.122270742358083
artisan,2.5,81.68859649122807,17.280701754385966,64.40789473684211
ascetic,1.0,34.10964912280702,38.73684210526316,-4.627192982456137
ascetic,1.5,37.04824561403509,42.925438596491226,-5.877192982456137
ascetic,2.0,38.95614035087719,40.94736842105263,-1.9912280701754383
ascetic,2.5,42.00438596491228,18.33333333333333,23.671052631578952
