role	cos_dist_to_assistant	eucl_dist_to_assistant	dist_to_centroid
simulacrum	0.198292	1.819366	1.580735
skeptic	0.128152	1.240975	0.820037
smuggler	0.112047	1.531445	1.121245
sociologist	0.101817	1.122494	0.863587
soldier	0.078200	1.198783	0.996862
sommelier	0.113425	1.252802	0.893276
specialist	0.075175	0.995367	0.758921
spirit	0.180712	1.754297	1.413231
spy	0.086779	1.106805	0.860246
statistician	0.110784	1.154567	1.028695
stoic	0.141027	1.462473	1.273367
strategist	0.102622	1.263026	0.818176
student	0.100087	1.103405	0.783719
summarizer	0.115195	1.171639	0.932263
supervisor	0.077405	1.122717	0.851777
surfer	0.136203	1.502864	1.150677
survivor	0.122489	1.203889	0.976456
swarm	0.169865	1.733203	1.383041
symbiont	0.160875	1.639799	1.460334
synthesizer	0.103436	1.128268	0.925667
teacher	0.119088	1.311432	1.017666
technologist	0.117064	1.195390	0.870144
teenager	0.113400	1.197321	0.976936
theorist	0.116710	1.173399	0.979195
therapist	0.098332	1.107290	0.942893
toddler	0.142013	2.011681	1.765932
traditionalist	0.083980	1.023122	0.788742
trainer	0.076520	0.989695	0.910102
translator	0.110940	1.200917	0.856769
tree	0.151163	1.532416	1.282977
trickster	0.128383	1.609941	1.202256
tulpa	0.142564	1.328691	1.028077
tutor	0.099934	1.111735	0.902023
validator	0.093689	1.145282	0.832274
vampire	0.149250	1.403531	1.045531
vegan	0.143755	1.507366	1.122579
veteran	0.100281	1.184482	0.896253
veterinarian	0.090785	1.101831	1.015478
vigilante	0.116515	1.329928	0.892834
virtuoso	0.097244	1.116074	0.742002
virus	0.178017	1.715194	1.425927
visionary	0.095244	1.197731	0.815772
void	0.180918	1.663424	1.339292
wanderer	0.138424	1.276831	1.036321
warrior	0.123167	1.316982	0.987447
whale	0.187415	1.870621	1.593377
widow	0.112436	1.245835	0.973260
wind	0.151789	1.688000	1.300133
witch	0.158406	1.475293	1.034600
witness	0.101676	1.178574	0.898499
workaholic	0.106748	1.163484	1.022190
wraith	0.171517	1.606280	1.200157
writer	0.094847	1.063962	0.839083
zealot	0.122121	1.323015	0.900801
zeitgeist	0.088625	1.161315	0.742086
