role,norm,dim,max_abs,mean_abs,norm_centered,score_at_alpha_1_0,score_at_alpha_1_5,score_at_alpha_2_0,score_at_alpha_2_5,delta_high_minus_low,score_slope,score_curve_r2,peak_alpha,late_alpha_drop,monotonic,subdim_consistency,sub25_cmp_emotional_register,sub25_cmp_vocab_choice,sub25_cmp_social_dynamic,sub25_cmp_motivation,sub25_cmp_worldview_alignment,n_questions_total
consultant,3.5762739181518555,4096,0.9960087537765503,0.037723708897829056,1.5171572,89.16666666666667,87.65789473684211,84.85087719298245,79.05701754385964,-10.109649122807028,-6.627192982456148,0.920629714448943,1.0,10.109649122807028,False,7.546129294538227,57.69736842105263,53.55263157894737,54.45175438596491,68.22368421052632,63.48684210526316,912
contrarian,3.4793078899383545,4096,0.9448492527008057,0.03680310770869255,1.2553078,47.23684210526316,52.09649122807018,61.23245614035088,69.8859649122807,22.64912280701754,15.416666666666663,0.9843264306392332,2.5,0.0,True,7.340775672176187,59.166666666666664,58.969298245614034,55.67982456140351,61.00877192982456,54.73684210526316,912
coordinator,4.01427698135376,4096,1.127734661102295,0.042399048805236816,1.2562896,82.60526315789474,82.64473684210526,81.91266375545851,75.39301310043668,-7.212250057458064,-4.4737646518041885,0.6755878369865973,1.5,7.2517237416685845,False,6.989212139385073,55.327510917030565,50.30567685589519,52.64192139737991,63.23144104803494,58.995633187772924,914
coral_reef,3.8589999675750732,4096,1.2710933685302734,0.03917299211025238,1.8754286,60.530701754385966,68.85526315789474,79.54385964912281,91.00438596491227,30.473684210526308,20.421929824561396,0.9950653033625712,2.5,0.0,True,15.351005596398235,74.82456140350877,71.46929824561404,73.5,77.7719298245614,74.22368421052632,912
cosmopolitan,3.577693223953247,4096,1.100390911102295,0.03784441947937012,1.01516,79.32894736842105,82.08771929824562,82.46929824561404,80.79824561403508,1.469298245614027,0.9578947368421012,0.18932688094194539,2.0,1.6710526315789593,False,3.279286094805355,65.37280701754386,62.478070175438596,62.98245614035088,72.91666666666667,68.1798245614035,912
counselor,3.628220319747925,4096,1.020625114440918,0.03865650296211243,1.4827203,78.5,80.86842105263158,80.46052631578948,80.60087719298245,2.100877192982452,1.178947368421052,0.49202608397208586,1.5,0.2675438596491233,False,1.7641281247885239,68.1359649122807,63.1359649122807,64.86842105263158,72.84210526315789,68.78508771929825,912
criminal,4.276796340942383,4096,1.3290624618530273,0.04534945264458656,1.6724412,26.70614035087719,33.95614035087719,54.95614035087719,75.4780701754386,48.77192982456141,33.463157894736845,0.9627495504991932,2.5,0.0,True,16.276629989874067,51.53508771929825,51.8640350877193,48.75,54.166666666666664,49.166666666666664,912
critic,3.5288519859313965,4096,0.9902348518371582,0.03798384591937065,0.9894299,69.73799126637554,71.23580786026201,73.3859649122807,74.88646288209607,5.148471615720524,3.5191143798360516,0.9945543139155711,2.5,0.0,True,2.4618511128988176,57.248908296943235,52.64192139737991,52.40174672489083,65.37117903930131,59.62882096069869,916
crystalline,4.569005012512207,4096,1.2257027626037598,0.0496855266392231,2.320675,69.9780701754386,75.80263157894737,83.40350877192982,90.64473684210526,20.666666666666657,13.920175438596484,0.9969957951607977,2.5,0.0,True,9.155117347771132,76.8859649122807,78.67543859649123,75.87719298245614,78.55263157894737,76.66228070175438,912
curator,3.716697931289673,4096,0.9817190170288086,0.040132928639650345,1.4519432,58.69736842105263,60.99122807017544,62.43421052631579,62.833333333333336,4.135964912280706,2.7701754385964934,0.9142781183019469,2.5,0.0,True,2.1629943169755483,57.03947368421053,51.33771929824562,52.56578947368421,61.26315789473684,55.76754385964912,912
