role,alpha,steered_score_mean,norm,norm_centered
amateur,2.5,89.09649122807018,3.1571643352508545,1.3560987710952759
ambassador,1.0,69.85087719298245,3.9017210006713867,1.1474395990371704
ambassador,1.5,70.41228070175438,3.9017210006713867,1.1474395990371704
ambassador,2.0,69.12280701754386,3.9017210006713867,1.1474395990371704
ambassador,2.5,64.94736842105263,3.9017210006713867,1.1474395990371704
amnesiac,1.0,39.49561403508772,4.1106061935424805,1.5158131122589111
amnesiac,1.5,46.271929824561404,4.1106061935424805,1.5158131122589111
amnesiac,2.0,63.51315789473684,4.1106061935424805,1.5158131122589111
amnesiac,2.5,79.15350877192982,4.1106061935424805,1.5158131122589111
analyst,1.0,86.3201754385965,3.5320725440979004,1.3815855979919434
analyst,1.5,85.31140350877193,3.5320725440979004,1.3815855979919434
analyst,2.0,84.50877192982456,3.5320725440979004,1.3815855979919434
analyst,2.5,81.89035087719299,3.5320725440979004,1.3815855979919434
anarchist,1.0,30.385964912280702,3.876178026199341,1.506083607673645
anarchist,1.5,36.57017543859649,3.876178026199341,1.506083607673645
anarchist,2.0,45.64912280701754,3.876178026199341,1.506083607673645
anarchist,2.5,57.3421052631579,3.876178026199341,1.506083607673645
ancient,1.0,42.99561403508772,3.9697999954223633,1.4149211645126343
ancient,1.5,44.26315789473684,3.9697999954223633,1.4149211645126343
ancient,2.0,47.98684210526316,3.9697999954223633,1.4149211645126343
ancient,2.5,51.083333333333336,3.9697999954223633,1.4149211645126343
angel,1.0,65.93859649122807,4.3454155921936035,2.1176631450653076
angel,1.5,72.46929824561404,4.3454155921936035,2.1176631450653076
angel,2.0,82.94298245614036,4.3454155921936035,2.1176631450653076
angel,2.5,89.60087719298245,4.3454155921936035,2.1176631450653076
anthropologist,1.0,61.75438596491228,3.6761772632598877,1.3824838399887085
anthropologist,1.5,65.48684210526316,3.6761772632598877,1.3824838399887085
anthropologist,2.0,71.15789473684211,3.6761772632598877,1.3824838399887085
anthropologist,2.5,75.2280701754386,3.6761772632598877,1.3824838399887085
archaeologist,1.0,44.71491228070175,3.410331964492798,1.101248025894165
archaeologist,1.5,48.62719298245614,3.410331964492798,1.101248025894165
archaeologist,2.0,53.14035087719298,3.410331964492798,1.101248025894165
archaeologist,2.5,58.15350877192982,3.410331964492798,1.101248025894165
architect,1.0,54.61572052401747,3.2971901893615723,1.390636920928955
architect,1.5,56.11353711790393,3.2971901893615723,1.390636920928955
architect,2.0,57.39737991266376,3.2971901893615723,1.390636920928955
architect,2.5,58.49561403508772,3.2971901893615723,1.390636920928955
archivist,1.0,59.04824561403509,3.833325147628784,1.8679497241973877
archivist,1.5,62.48684210526316,3.833325147628784,1.8679497241973877
archivist,2.0,71.85526315789474,3.833325147628784,1.8679497241973877
archivist,2.5,78.8640350877193,3.833325147628784,1.8679497241973877
artisan,1.0,56.49781659388646,3.7969985008239746,1.649525761604309
artisan,1.5,64.28384279475982,3.7969985008239746,1.649525761604309
artisan,2.0,74.96943231441048,3.7969985008239746,1.649525761604309
artisan,2.5,81.68859649122807,3.7969985008239746,1.649525761604309
ascetic,1.0,34.10964912280702,3.533341646194458,1.2879873514175415
ascetic,1.5,37.04824561403509,3.533341646194458,1.2879873514175415
ascetic,2.0,38.95614035087719,3.533341646194458,1.2879873514175415
ascetic,2.5,42.00438596491228,3.533341646194458,1.2879873514175415
assistant,1.0,94.70614035087719,3.498568534851074,1.1670026779174805
assistant,1.5,94.29385964912281,3.498568534851074,1.1670026779174805
assistant,2.0,92.82894736842105,3.498568534851074,1.1670026779174805
assistant,2.5,89.46491228070175,3.498568534851074,1.1670026779174805
auctioneer,1.0,36.526315789473685,4.37923526763916,1.7653939723968506
auctioneer,1.5,42.675438596491226,4.37923526763916,1.7653939723968506
auctioneer,2.0,53.67982456140351,4.37923526763916,1.7653939723968506
auctioneer,2.5,68.84210526315789,4.37923526763916,1.7653939723968506
auditor,1.0,62.728070175438596,3.5493264198303223,1.7244998216629028
auditor,1.5,63.64912280701754,3.5493264198303223,1.7244998216629028
auditor,2.0,65.04824561403508,3.5493264198303223,1.7244998216629028
auditor,2.5,67.60526315789474,3.5493264198303223,1.7244998216629028
avatar,1.0,55.44298245614035,4.169680595397949,1.8566640615463257
avatar,1.5,64.89035087719299,4.169680595397949,1.8566640615463257
avatar,2.0,78.53508771929825,4.169680595397949,1.8566640615463257
avatar,2.5,87.10526315789474,4.169680595397949,1.8566640615463257
bard,1.0,47.40350877192982,3.566101312637329,1.094731092453003
bard,1.5,51.79824561403509,3.566101312637329,1.094731092453003
bard,2.0,59.71491228070175,3.566101312637329,1.094731092453003
bard,2.5,68.56140350877193,3.566101312637329,1.094731092453003
bartender,1.0,50.776315789473685,4.524214744567871,1.9933539628982544
bartender,1.5,61.723684210526315,4.524214744567871,1.9933539628982544
bartender,2.0,75.0657894736842,4.524214744567871,1.9933539628982544
bartender,2.5,79.8157894736842,4.524214744567871,1.9933539628982544
biologist,1.0,57.728070175438596,3.3239645957946777,1.2129863500595093
biologist,1.5,57.8640350877193,3.3239645957946777,1.2129863500595093
biologist,2.0,60.42982456140351,3.3239645957946777,1.2129863500595093
biologist,2.5,60.93859649122807,3.3239645957946777,1.2129863500595093
blogger,1.0,74.57456140350877,3.173158884048462,1.1797488927841187
blogger,1.5,79.77631578947368,3.173158884048462,1.1797488927841187
