role,alpha,subdim,steered_mean,aa_mean,advantage
analyst,1.5,emotional_register,67.36842105263158,66.60087719298245,0.7675438596491233
analyst,1.5,vocab_choice,69.23245614035088,70.04385964912281,-0.8114035087719316
analyst,1.5,social_dynamic,65.9780701754386,66.2719298245614,-0.29385964912279405
analyst,1.5,motivation,75.91228070175438,73.48684210526316,2.425438596491219
analyst,1.5,worldview_alignment,72.70614035087719,70.32456140350877,2.381578947368425
analyst,2.0,emotional_register,64.03508771929825,43.48684210526316,20.54824561403509
analyst,2.0,vocab_choice,64.33333333333333,44.32017543859649,20.013157894736835
analyst,2.0,social_dynamic,63.333333333333336,44.18859649122807,19.144736842105267
analyst,2.0,motivation,74.95614035087719,58.17982456140351,16.776315789473685
analyst,2.0,worldview_alignment,70.44298245614036,53.969298245614034,16.473684210526322
analyst,2.5,emotional_register,59.078947368421055,16.44736842105263,42.631578947368425
analyst,2.5,vocab_choice,56.53508771929825,15.43859649122807,41.09649122807018
analyst,2.5,social_dynamic,56.60087719298246,17.19298245614035,39.40789473684211
analyst,2.5,motivation,71.29385964912281,25.263157894736842,46.030701754385966
analyst,2.5,worldview_alignment,66.2719298245614,20.350877192982455,45.921052631578945
anarchist,1.0,emotional_register,18.88157894736842,13.662280701754385,5.219298245614036
anarchist,1.0,vocab_choice,30.92105263157895,27.74122807017544,3.1798245614035103
anarchist,1.0,social_dynamic,23.31140350877193,19.232456140350877,4.078947368421055
anarchist,1.0,motivation,18.903508771929825,14.868421052631579,4.035087719298247
anarchist,1.0,worldview_alignment,13.640350877192983,10.548245614035087,3.0921052631578956
anarchist,1.5,emotional_register,26.403508771929825,15.043859649122806,11.359649122807019
anarchist,1.5,vocab_choice,36.074561403508774,30.24122807017544,5.833333333333336
anarchist,1.5,social_dynamic,30.021929824561404,22.54385964912281,7.478070175438596
anarchist,1.5,motivation,26.359649122807017,17.653508771929825,8.706140350877192
anarchist,1.5,worldview_alignment,20.43859649122807,12.697368421052632,7.741228070175437
anarchist,2.0,emotional_register,37.12719298245614,12.083333333333334,25.0438596491228
anarchist,2.0,vocab_choice,44.71491228070175,26.95175438596491,17.763157894736842
anarchist,2.0,social_dynamic,38.85964912280702,18.903508771929825,19.956140350877195
anarchist,2.0,motivation,37.19298245614035,17.894736842105264,19.298245614035086
anarchist,2.0,worldview_alignment,30.210526315789473,12.368421052631579,17.842105263157894
anarchist,2.5,emotional_register,48.79385964912281,7.565789473684211,41.228070175438596
anarchist,2.5,vocab_choice,51.271929824561404,16.776315789473685,34.49561403508772
anarchist,2.5,social_dynamic,47.10526315789474,11.25,35.85526315789474
anarchist,2.5,motivation,49.29824561403509,15.701754385964913,33.59649122807018
anarchist,2.5,worldview_alignment,43.43421052631579,11.469298245614034,31.964912280701753
ancient,1.0,emotional_register,23.640350877192983,21.885964912280702,1.7543859649122808
ancient,1.0,vocab_choice,30.87719298245614,31.00877192982456,-0.13157894736842124
ancient,1.0,social_dynamic,27.609649122807017,27.982456140350877,-0.3728070175438596
ancient,1.0,motivation,38.421052631578945,37.10526315789474,1.3157894736842053
ancient,1.0,worldview_alignment,26.535087719298247,26.20614035087719,0.3289473684210549
ancient,1.5,emotional_register,24.62719298245614,26.271929824561404,-1.6447368421052637
ancient,1.5,vocab_choice,30.19736842105263,34.780701754385966,-4.583333333333336
ancient,1.5,social_dynamic,28.837719298245613,31.62280701754386,-2.7850877192982466
ancient,1.5,motivation,39.23245614035088,43.75,-4.517543859649123
ancient,1.5,worldview_alignment,27.80701754385965,32.10526315789474,-4.298245614035089
ancient,2.0,emotional_register,28.92543859649123,19.780701754385966,9.144736842105264
ancient,2.0,vocab_choice,30.94298245614035,25.635964912280702,5.307017543859647
ancient,2.0,social_dynamic,32.280701754385966,25.94298245614035,6.3377192982456165
ancient,2.0,motivation,43.0921052631579,40.5921052631579,2.5
ancient,2.0,worldview_alignment,32.18421052631579,28.44298245614035,3.7412280701754383
ancient,2.5,emotional_register,33.37719298245614,6.535087719298246,26.84210526315789
ancient,2.5,vocab_choice,32.828947368421055,7.754385964912281,25.074561403508774
ancient,2.5,social_dynamic,35.35087719298246,8.026315789473685,27.324561403508774
ancient,2.5,motivation,49.69298245614035,17.36842105263158,32.32456140350877
ancient,2.5,worldview_alignment,37.89473684210526,9.605263157894736,28.289473684210524
angel,1.0,emotional_register,34.21052631578947,30.394736842105264,3.815789473684209
angel,1.0,vocab_choice,43.75,42.916666666666664,0.8333333333333357
angel,1.0,social_dynamic,37.78508771929825,35.35087719298246,2.4342105263157876
angel,1.0,motivation,46.73245614035088,42.78508771929825,3.94736842105263
angel,1.0,worldview_alignment,35.54824561403509,31.842105263157894,3.7061403508771953
angel,1.5,emotional_register,45.08771929824562,34.95614035087719,10.131578947368425
angel,1.5,vocab_choice,49.671052631578945,45.08771929824562,4.583333333333329
angel,1.5,social_dynamic,46.99561403508772,40.94298245614035,6.05263157894737
angel,1.5,motivation,54.89035087719298,50.328947368421055,4.5614035087719245
angel,1.5,worldview_alignment,45.62280701754386,39.49561403508772,6.127192982456144
angel,2.0,emotional_register,58.728070175438596,30.50438596491228,28.223684210526315
angel,2.0,vocab_choice,58.1140350877193,35.723684210526315,22.390350877192986
angel,2.0,social_dynamic,58.07017543859649,35.28508771929825,22.785087719298247
angel,2.0,motivation,64.84649122807018,48.79385964912281,16.05263157894737
angel,2.0,worldview_alignment,57.35087719298246,37.43421052631579,19.91666666666667
angel,2.5,emotional_register,71.68859649122807,12.324561403508772,59.364035087719294
