persona,hits,poses,lexfiles,num_synsets,status,suggested_proxy
vampire,vampire,n,noun.person,1,exact_noun.person,
vegan,vegan,n,noun.person,1,exact_noun.person,
veteran,veteran,a; n,adj.all; noun.person,4,exact_noun.person,
veterinarian,veterinarian,n,noun.person,1,exact_noun.person,
vigilante,vigilante,n,noun.person,1,exact_noun.person,
virtuoso,virtuoso,a; n,adj.all; noun.person,3,exact_noun.person,
virus,virus,n,noun.animal; noun.communication; noun.state,3,exact_noun_other,
visionary,visionary,a; n,adj.all; noun.person,3,exact_noun.person,
void,void,a; n; v,adj.all; noun.shape; noun.state; verb.body; verb.change; verb.social,8,exact_noun_other,
wanderer,wanderer,n,noun.communication; noun.person,2,exact_noun.person,
warrior,warrior,n,noun.person,1,exact_noun.person,
whale,whale,n; v,noun.animal; noun.person; verb.competition,3,exact_noun.person,
widow,widow,n; v,noun.person; verb.change,2,exact_noun.person,
wind,wind,n; v,noun.act; noun.artifact; noun.communication; noun.phenomenon; verb.contact; verb.motion; verb.perception; verb.stative,15,exact_noun_other,
witch,witch,n; v,noun.person; verb.communication,5,exact_noun.person,
witness,witness,n; v,noun.communication; noun.person; verb.perception,7,exact_noun.person,
woman,woman,n,noun.group; noun.person,3,exact_noun.person,
workaholic,workaholic,n,noun.person,1,exact_noun.person,
wraith,wraith,n,noun.cognition,1,exact_noun_other,
writer,writer,n,noun.person,2,exact_noun.person,
zealot,zealot,n,noun.person,2,exact_noun.person,
zeitgeist.json,zeitgeist,n,noun.state,1,exact_noun_other,
