role,steered_auc,aa_auc,auc_advantage,steered_monotonic,aa_monotonic,steered_peak_alpha,aa_peak_alpha,steered_slope,aa_slope,slope_advantage,steered_score_1_0,steered_score_2_5,aa_score_1_0,aa_score_2_5,steered_gain,aa_gain
hybrid,88.80190058479532,62.9078947368421,25.894005847953217,True,False,2.5,1.5,4.697368421052628,-36.411403508771905,41.108771929824535,84.12719298245614,91.0701754385965,77.28508771929825,21.907894736842106,6.942982456140356,-55.37719298245614
idealist,72.48172514619883,62.27485380116959,10.206871345029235,False,False,2.0,1.5,3.681578947368413,-36.10964912280701,39.79122807017542,69.58333333333333,74.48245614035088,73.16228070175438,16.600877192982455,4.899122807017548,-56.56140350877193
immigrant,55.97733918128656,44.18932748538011,11.788011695906448,True,False,2.5,1.5,10.685087719298243,-16.959649122807015,27.64473684210526,49.44736842105263,65.10087719298245,50.280701754385966,24.583333333333332,15.653508771929822,-25.697368421052634
improviser,79.55336257309942,51.2843567251462,28.269005847953217,True,False,2.5,1.5,17.966666666666647,-24.362280701754372,42.32894736842102,64.64035087719299,90.95175438596492,58.03508771929825,20.81140350877193,26.31140350877193,-37.223684210526315
infant,11.62061403508772,11.730263157894738,-0.10964912280701888,True,True,2.5,2.5,12.795614035087713,9.598245614035084,3.1973684210526283,3.7280701754385963,22.69736842105263,4.37280701754386,19.157894736842106,18.969298245614034,14.785087719298247
influencer,77.40350877192982,51.515350877192986,25.888157894736835,True,False,2.5,1.5,11.704385964912262,-28.978070175438596,40.68245614035086,66.92543859649123,84.10087719298245,62.84649122807018,20.17543859649123,17.17543859649122,-42.671052631578945
instructor,90.45687134502924,71.671783625731,18.785087719298247,False,False,1.0,1.0,-5.628070175438577,-43.69298245614032,38.06491228070175,92.82894736842105,84.41228070175438,92.4780701754386,29.29824561403509,-8.416666666666671,-63.179824561403514
interpreter,68.25146198830409,51.885233918128655,16.36622807017543,False,False,2.0,1.5,3.0491228070175347,-30.5657894736842,33.61491228070174,65.37719298245614,69.71052631578948,65.42543859649123,20.833333333333332,4.333333333333343,-44.592105263157904
interviewer,80.07456140350878,61.239766081871345,18.834795321637436,False,False,2.0,1.0,-1.007017543859654,-37.12631578947366,36.119298245614004,79.76315789473684,77.91228070175438,78.0657894736842,23.70614035087719,-1.850877192982452,-54.359649122807014
jester,53.66081871345029,33.71783625730994,19.94298245614035,True,False,2.5,1.5,23.76929824561402,-15.229824561403495,38.999122807017514,38.0,72.97368421052632,36.06140350877193,11.228070175438596,34.973684210526315,-24.833333333333336
journalist,78.90058479532163,51.62938596491228,27.271198830409354,True,False,2.5,1.5,6.581578947368407,-33.27280701754385,39.854385964912254,72.41228070175438,82.26315789473684,67.33771929824562,19.736842105263158,9.850877192982452,-47.60087719298246
judge,62.40131578947368,49.56067251461988,12.840643274853797,False,False,1.5,1.0,-1.1157894736842247,-33.250877192982436,32.13508771929821,62.30701754385965,60.89912280701754,64.49122807017544,15.548245614035087,-1.4078947368421098,-48.94298245614035
lawyer,61.9061135371179,46.71834061135371,15.187772925764193,True,False,2.5,1.5,1.4637554585152903,-32.64366812227074,34.107423580786026,60.99126637554585,63.25764192139738,61.248908296943235,13.995633187772926,2.266375545851531,-47.25327510917031
leviathan,49.00073099415204,32.64108187134503,16.359649122807014,True,False,2.5,1.5,26.20701754385963,-14.283333333333319,40.49035087719295,35.68421052631579,75.50438596491227,35.425438596491226,12.105263157894736,39.820175438596486,-23.32017543859649
librarian,70.82309941520468,53.61330409356725,17.20979532163743,False,False,1.5,1.0,-2.822807017543862,-38.66578947368417,35.84298245614031,71.85964912280701,67.48245614035088,72.04385964912281,16.25,-4.377192982456137,-55.79385964912281
linguist,49.43274853801169,35.53947368421053,13.89327485380116,True,False,2.5,1.0,5.026315789473683,-22.985087719298235,28.01140350877192,47.14473684210526,54.78508771929825,46.19298245614035,12.280701754385966,7.6403508771929864,-33.91228070175438
loner,49.37719298245614,38.11622807017544,11.260964912280699,True,False,2.5,1.5,13.72280701754386,-12.870175438596487,26.592982456140348,41.14912280701754,62.219298245614034,40.728070175438596,20.32894736842105,21.070175438596493,-20.399122807017545
luddite,39.70175438596492,30.16374269005848,9.538011695906437,True,False,2.5,1.5,11.875438596491218,-10.898245614035083,22.7736842105263,32.15350877192982,50.17982456140351,33.05263157894737,16.403508771929825,18.026315789473685,-16.649122807017545
marketer,65.59576023391813,49.772660818713454,15.823099415204673,True,False,2.5,1.5,1.5192982456140396,-32.940350877192955,34.459649122806994,64.55701754385964,66.76315789473684,63.3421052631579,15.109649122807017,2.2061403508771917,-48.23245614035088
martyr,46.6030701754386,38.15862573099415,8.44444444444445,True,False,2.5,2.0,18.51754385964911,-8.981578947368424,27.499122807017535,35.25877192982456,63.08771929824562,37.76315789473684,22.69736842105263,27.828947368421055,-15.065789473684212
mathematician,66.26388888888889,45.372076023391806,20.89181286549708,True,False,2.5,1.5,6.291228070175432,-24.135964912280688,30.42719298245612,61.51754385964912,71.00438596491227,56.00877192982456,21.82017543859649,9.48684210526315,-34.18859649122807
maverick,76.93201754385966,41.19444444444444,35.737573099415215,True,False,2.5,1.5,22.142105263157884,-20.871052631578934,43.01315789473682,57.50877192982456,89.8640350877193,48.62719298245614,17.390350877192983,32.35526315789474,-31.236842105263154
mechanic,53.30409356725147,28.999269005847953,24.304824561403517,True,False,2.5,1.5,19.496491228070166,-14.528947368421042,34.025438596491206,38.921052631578945,66.92105263157895,36.223684210526315,17.017543859649123,28.0,-19.20614035087719
mediator,82.87719298245614,69.53362573099416,13.343567251461977,False,False,2.0,1.5,-0.349122807017542,-38.16403508771926,37.81491228070172,82.31140350877193,81.67105263157895,84.71491228070175,27.214912280701753,-0.6403508771929864,-57.5
