role,alpha,steered_score,aa_score
competitor,2.0,75.88157894736842,44.68421052631579
competitor,2.5,81.0701754385965,19.767543859649123
composer,1.0,41.8421052631579,40.828947368421055
composer,1.5,45.20175438596491,42.49122807017544
composer,2.0,52.19736842105263,31.592105263157894
composer,2.5,60.10526315789474,11.855263157894736
conservator,1.0,48.13157894736842,50.96052631578947
conservator,1.5,49.728070175438596,51.12719298245614
conservator,2.0,48.81140350877193,37.14912280701754
conservator,2.5,46.30263157894737,16.79824561403509
consultant,1.0,89.16666666666667,88.64912280701755
consultant,1.5,87.65789473684211,86.60964912280701
consultant,2.0,84.85087719298245,56.31140350877193
consultant,2.5,79.05701754385964,16.732456140350877
contrarian,1.0,47.23684210526316,45.333333333333336
contrarian,1.5,52.09649122807018,46.60964912280702
contrarian,2.0,61.23245614035088,37.80263157894737
contrarian,2.5,69.8859649122807,20.94298245614035
coordinator,1.0,82.60526315789474,82.97368421052632
coordinator,1.5,82.64473684210526,83.40350877192982
coordinator,2.0,81.91266375545851,61.66812227074236
coordinator,2.5,75.39301310043668,19.475982532751093
coral_reef,1.0,60.530701754385966,59.71491228070175
coral_reef,1.5,68.85526315789474,61.421052631578945
coral_reef,2.0,79.54385964912281,50.80263157894737
coral_reef,2.5,91.00438596491227,19.210526315789473
cosmopolitan,1.0,79.32894736842105,78.9780701754386
cosmopolitan,1.5,82.08771929824562,78.49561403508773
cosmopolitan,2.0,82.46929824561404,61.24122807017544
cosmopolitan,2.5,80.79824561403508,21.57894736842105
counselor,1.0,78.5,82.70175438596492
counselor,1.5,80.86842105263158,84.84210526315789
counselor,2.0,80.46052631578948,67.5657894736842
counselor,2.5,80.60087719298245,26.359649122807017
criminal,1.0,26.70614035087719,24.236842105263158
criminal,1.5,33.95614035087719,27.36842105263158
criminal,2.0,54.95614035087719,20.70614035087719
criminal,2.5,75.4780701754386,12.763157894736842
critic,1.0,69.73799126637554,54.86026200873363
critic,1.5,71.23580786026201,53.620087336244545
critic,2.0,73.3859649122807,35.39473684210526
critic,2.5,74.88646288209607,11.253275109170305
crystalline,1.0,69.9780701754386,64.16228070175438
crystalline,1.5,75.80263157894737,65.9780701754386
crystalline,2.0,83.40350877192982,47.421052631578945
crystalline,2.5,90.64473684210526,13.399122807017545
curator,1.0,58.69736842105263,58.13157894736842
curator,1.5,60.99122807017544,57.71052631578947
curator,2.0,62.43421052631579,40.35087719298246
curator,2.5,62.833333333333336,14.671052631578947
cyborg,1.0,50.67982456140351,44.973684210526315
cyborg,1.5,57.75877192982456,45.29824561403509
cyborg,2.0,72.8157894736842,36.14035087719298
cyborg,2.5,87.51315789473684,15.50438596491228
cynic,1.0,38.21052631578947,37.71052631578947
cynic,1.5,42.65350877192982,40.39912280701754
cynic,2.0,52.45614035087719,35.46052631578947
cynic,2.5,67.48684210526316,19.25438596491228
daredevil,1.0,44.53508771929825,41.0
daredevil,1.5,58.34649122807018,43.94298245614035
daredevil,2.0,75.46929824561404,41.771929824561404
daredevil,2.5,82.80701754385964,21.95175438596491
debugger,1.0,64.36842105263158,59.578947368421055
debugger,1.5,66.64473684210526,59.17982456140351
debugger,2.0,71.69736842105263,42.425438596491226
debugger,2.5,73.36842105263158,18.37719298245614
demon,1.0,29.32894736842105,27.29385964912281
demon,1.5,31.719298245614034,30.81578947368421
demon,2.0,43.1140350877193,28.763157894736842
demon,2.5,69.76754385964912,11.635964912280702
