role,steered_vec_norm,axis_vec_norm
homunculus,4.011496543884277,9.592902183532715
hybrid,4.033790111541748,9.77565860748291
idealist,3.562786102294922,10.154544830322266
immigrant,3.1879329681396484,10.021551132202148
improviser,3.9684598445892334,9.592719078063965
infant,4.478322505950928,9.090278625488281
influencer,3.4869141578674316,9.44368839263916
instructor,3.8157615661621094,9.288531303405762
interpreter,3.427000045776367,9.721457481384277
interviewer,3.769597291946411,9.792021751403809
jester,4.274447441101074,8.79345417022705
journalist,3.9711813926696777,9.873144149780273
judge,3.2531135082244873,9.845216751098633
lawyer,3.3690011501312256,9.64305591583252
leviathan,3.748227119445801,9.490594863891602
librarian,3.5047881603240967,9.519906044006348
linguist,3.168696880340576,9.81746768951416
loner,3.4319443702697754,9.865477561950684
luddite,3.459296941757202,9.838223457336426
marketer,3.5328164100646973,9.60523796081543
martyr,4.119487285614014,10.141735076904297
mathematician,3.458183526992798,9.49161434173584
maverick,4.30354118347168,9.412861824035645
mechanic,4.283376693725586,9.373583793640137
mediator,3.3031504154205322,9.930496215820312
mentor,3.6254005432128906,9.565174102783203
merchant,4.116021633148193,9.825115203857422
minimalist,3.6313462257385254,9.742000579833984
moderator,3.7308595180511475,9.89384937286377
musician,3.4933059215545654,9.745654106140137
mycorrhizal,4.353971004486084,9.713227272033691
mystic,3.8505654335021973,9.70654582977295
narcissist,4.035037040710449,9.982767105102539
narrator,3.0421981811523438,9.371051788330078
naturalist,3.422142744064331,9.947707176208496
navigator,3.890716075897217,9.641438484191895
negotiator,3.4534287452697754,9.84764289855957
networker,3.8613312244415283,9.87264633178711
newlywed,3.4365315437316895,9.780829429626465
nomad,3.6497743129730225,9.552177429199219
novelist,3.4215173721313477,9.73945426940918
nutritionist,3.568650722503662,9.667766571044922
observer,4.061332702636719,10.0022554397583
optimist,3.3110909461975098,10.016464233398438
oracle,3.9904069900512695,9.565398216247559
organizer,3.9906461238861084,9.526426315307617
orphan,3.9415857791900635,9.951066970825195
pacifist,3.547858715057373,10.154544830322266
paramedic,4.2675676345825195,9.563932418823242
parasite,4.075311183929443,9.741644859313965
parent,3.8244974613189697,9.62170124053955
patient,3.656367301940918,9.802943229675293
peacekeeper,3.5366952419281006,10.03819751739502
perfectionist,3.3818650245666504,9.645078659057617
pharmacist,3.940321445465088,9.532694816589355
philosopher,2.7489874362945557,10.075944900512695
photographer,4.044723987579346,9.755204200744629
physicist,3.1994574069976807,9.627021789550781
pilgrim,3.5691421031951904,9.998147010803223
pilot,3.484482526779175,9.594596862792969
pirate,4.454648017883301,8.918412208557129
planner,3.4406278133392334,9.3920316696167
playwright,3.874875783920288,9.520027160644531
podcaster,3.531001329421997,9.814971923828125
poet,3.451352596282959,9.122260093688965
polymath,3.510280132293701,9.682446479797363
pragmatist,3.8930399417877197,9.564870834350586
predator,4.072451114654541,9.621870040893555
presenter,3.567753791809082,9.451644897460938
prey,4.496997356414795,9.735611915588379
prisoner,3.9960732460021973,9.654203414916992
procrastinator,4.159399032592773,9.449291229248047
prodigy,4.554549217224121,9.531035423278809
producer,3.6857194900512695,9.732999801635742
programmer,3.809183120727539,9.624832153320312
proofreader,3.398391008377075,9.850896835327148
prophet,4.521474838256836,9.87817096710205
provincial,3.773303747177124,9.701201438903809
provocateur,4.274341106414795,9.52234935760498
psychologist,3.210434913635254,9.67868423461914
publisher,3.604231357574463,9.676126480102539
purist,3.7763609886169434,9.925081253051758
realist,4.013901710510254,9.689424514770508
rebel,3.584899425506592,9.523137092590332
recruiter,3.447910785675049,9.722160339355469
refugee,3.4396591186523438,10.033596992492676
reporter,4.312051296234131,9.882594108581543
researcher,3.650308609008789,9.414216041564941
retiree,3.2625069618225098,9.67356014251709
revenant,4.151460647583008,9.609502792358398
reviewer,3.4050726890563965,9.528602600097656
revolutionary,3.8702590465545654,9.994492530822754
robot,4.313784122467041,8.887578964233398
rogue,4.194333076477051,9.340739250183105
romantic,3.153604030609131,9.840203285217285
saboteur,3.782468557357788,9.722771644592285
sage,3.228227376937866,9.944371223449707
scheduler,3.9322524070739746,9.536468505859375
scholar,3.107736825942993,9.731524467468262
scientist,3.6703500747680664,9.496710777282715
scout,4.108814716339111,9.64732551574707
screener,3.4324405193328857,9.75815200805664
secretary,4.091058254241943,9.591256141662598
shaman,4.371306896209717,9.704547882080078
shapeshifter,4.0191192626953125,9.663010597229004
simulacrum,4.262311935424805,9.987798690795898
skeptic,3.3145570755004883,9.724634170532227
smuggler,4.488242149353027,9.597429275512695
sociologist,3.424071788787842,10.023218154907227
soldier,4.204076766967773,9.72530460357666
sommelier,3.763441801071167,9.511944770812988
specialist,3.6209876537323,9.334770202636719
spirit,4.260683536529541,9.776999473571777
spy,3.7809958457946777,9.596540451049805
statistician,3.361395835876465,9.550756454467773
stoic,4.04255485534668,10.027878761291504
strategist,3.9555957317352295,9.51870346069336
student,3.37634539604187,9.868535041809082
summarizer,3.259979248046875,9.59897518157959
supervisor,3.9577109813690186,9.813048362731934
surfer,4.100420951843262,9.333076477050781
survivor,3.224329710006714,9.991286277770996
swarm,4.242008686065674,9.66112232208252
symbiont,4.170369625091553,10.005288124084473
synthesizer,3.4486284255981445,9.592477798461914
teacher,3.85371994972229,9.409280776977539
technologist,3.3567395210266113,9.676284790039062
teenager,3.5002551078796387,9.674099922180176
theorist,3.137796401977539,9.715666770935059
therapist,3.489194631576538,9.85304069519043
toddler,5.114455223083496,9.39126205444336
traditionalist,3.524693012237549,10.283503532409668
