seed,split_half_corr,split_half_l2,full_corr_spearmanbrown,full_l2_spearmanbrown
75,0.9330056166793529,0.9815514892519694,0.9653418579115488,0.9906898655684214
76,0.9355254588414571,0.9806358717610024,0.9666888694932821,0.9902232770217472
77,0.9387123606429857,0.9815107112019007,0.9683874510725831,0.9906690946995264
78,0.9371654855532354,0.9813169105601594,0.9675636826510877,0.9905703679505978
79,0.9374031178121341,0.9837092883101147,0.9676903161699487,0.9917877524766934
80,0.9390438965648956,0.9820651298826809,0.9685638352266853,0.9909514224094237
81,0.9413887601598377,0.9819868012352896,0.9698096326490854,0.9909115445403149
82,0.9415817236452753,0.9835668421170796,0.9699120177928716,0.9917153495743147
83,0.9443798025666151,0.9824376301879695,0.9713943760576174,0.9911410227769106
84,0.9326077199390745,0.9792412480411887,0.9651288363563766,0.989511762661901
85,0.9262767931809033,0.9802734293618582,0.9617276151173706,0.9900384611813438
86,0.9379690831821551,0.9812963764756871,0.9679917923582197,0.9905599062581527
87,0.9372476736485938,0.9817699340274146,0.9676074839552038,0.990801118909127
88,0.934003765481239,0.9818362369377532,0.9658758500388239,0.9908348819525509
89,0.9419114316238717,0.981406868519934,0.9700869115706512,0.9906161971195978
90,0.9277237576798628,0.9795073692385828,0.9625069504734817,0.9896476107743415
91,0.93324836992465,0.9815181743892429,0.9654717773909456,0.9906728962420677
92,0.94739611064374,0.9816119821110141,0.9729875760412857,0.9907206768757034
93,0.9372463046588101,0.9819436006998243,0.9676067543965493,0.9908895493828381
94,0.939218004664802,0.9810607127318905,0.9686564402821207,0.9904398249148093
95,0.9510011960219532,0.9822579477632782,0.9748853029521694,0.9910495744225714
96,0.9315221050596347,0.9825612165398016,0.964547185475648,0.9912039117305872
97,0.9358437700566856,0.9798328780210693,0.9668587770688563,0.9898137250861858
98,0.9379767905260141,0.9808229976386896,0.9679958966602736,0.9903186693691607
99,0.921905929019117,0.9818830084114772,0.959366340567595,0.9908586977578239
100,0.9341743809254739,0.9803985150240304,0.9659670711577569,0.9901022522349591
101,0.9280652447100153,0.981837197290161,0.9626907048465552,0.9908353709705955
102,0.9431959034458901,0.9791345552612458,0.9707676943671101,0.9894572884479803
103,0.9463632833527108,0.9842488632126498,0.9724425973783798,0.9920619146724127
104,0.942693644769316,0.9797243006248769,0.9705015994750481,0.9897583217174617
105,0.9397279149826014,0.9806844538703475,0.96892755702908,0.9902480447645716
106,0.9412379825981605,0.9829587313621508,0.9697296169101368,0.9914061405472907
107,0.9395399328073514,0.9793433754967236,0.96882762444332,0.9895639004535569
108,0.9306114319532799,0.9817902175685175,0.9640587604018708,0.9908114480180327
109,0.9318704406540028,0.9815589410005581,0.9647338879915088,0.990693661128177
