role,alpha,method,score,start_score,gap_to_baseline,gap_closed
alien,1.5,assistant_axis,38.583333333333336,36.56578947368421,50.416666666666664,0.03847762442492682
alien,2.0,steered,53.73245614035088,37.50877192982456,35.26754385964912,0.31507666098807496
alien,2.0,assistant_axis,30.92543859649123,36.56578947368421,58.07456140350877,-0.10757005437055626
alien,2.5,steered,76.19298245614036,37.50877192982456,12.807017543859644,0.7512776831345828
alien,2.5,assistant_axis,16.11842105263158,36.56578947368421,72.88157894736842,-0.3899623588456713
altruist,1.0,steered,71.27510917030568,71.27510917030568,17.724890829694317,0.0
altruist,1.0,assistant_axis,58.48471615720524,58.48471615720524,30.51528384279476,0.0
altruist,1.5,steered,73.02620087336244,71.27510917030568,15.973799126637559,0.09879280610987874
altruist,1.5,assistant_axis,75.86899563318778,58.48471615720524,13.13100436681222,0.5696908986834576
altruist,2.0,steered,75.24454148471615,71.27510917030568,13.755458515283848,0.2239467849223941
altruist,2.0,assistant_axis,68.4585152838428,58.48471615720524,20.5414847161572,0.3268460217515743
altruist,2.5,steered,74.3859649122807,71.27510917030568,14.614035087719301,0.17550775188772574
altruist,2.5,assistant_axis,25.74561403508772,58.48471615720524,63.25438596491228,-1.0728755560911438
amateur,1.0,steered,65.50877192982456,65.50877192982456,23.49122807017544,0.0
amateur,1.0,assistant_axis,63.14912280701754,63.14912280701754,25.85087719298246,0.0
amateur,1.5,steered,76.64473684210526,65.50877192982456,12.35526315789474,0.4740477968633307
amateur,1.5,assistant_axis,69.64473684210526,63.14912280701754,19.35526315789474,0.2512724804886325
amateur,2.0,steered,84.7719298245614,65.50877192982456,4.228070175438603,0.8200149365197906
amateur,2.0,assistant_axis,57.56578947368421,63.14912280701754,31.434210526315788,-0.2159823549372241
amateur,2.5,steered,89.09649122807018,65.50877192982456,-0.09649122807017818,1.0041075429424946
amateur,2.5,assistant_axis,27.67543859649123,63.14912280701754,61.32456140350877,-1.372242958941296
ambassador,1.0,steered,69.85087719298245,69.85087719298245,19.149122807017548,0.0
ambassador,1.0,assistant_axis,71.03070175438596,71.03070175438596,17.96929824561404,0.0
ambassador,1.5,steered,70.41228070175438,69.85087719298245,18.587719298245617,0.02931745304626669
ambassador,1.5,assistant_axis,70.90350877192982,71.03070175438596,18.096491228070178,-0.007078350012203855
ambassador,2.0,steered,69.12280701754386,69.85087719298245,19.877192982456137,-0.03802107191937659
ambassador,2.0,assistant_axis,50.68421052631579,71.03070175438596,38.31578947368421,-1.132291920917744
ambassador,2.5,steered,64.94736842105263,69.85087719298245,24.05263157894737,-0.2560696289509847
ambassador,2.5,assistant_axis,14.342105263157896,71.03070175438596,74.65789473684211,-3.1547473761288733
amnesiac,1.0,steered,39.49561403508772,39.49561403508772,49.50438596491228,0.0
amnesiac,1.0,assistant_axis,37.28947368421053,37.28947368421053,51.71052631578947,0.0
amnesiac,1.5,steered,46.27192982456141,39.49561403508772,42.72807017543859,0.1368831398954551
amnesiac,1.5,assistant_axis,43.16666666666666,37.28947368421053,45.83333333333334,0.11365564037319742
amnesiac,2.0,steered,63.51315789473684,39.49561403508772,25.486842105263158,0.4851599184902986
