role,cos_with_daa,aa_norm
researcher,0.9835139513015747,9.414216995239258
retiree,0.9897438883781433,9.673561096191406
revenant,0.9739731550216675,9.609503746032715
reviewer,0.9852471351623535,9.528603553771973
revolutionary,0.9766129851341248,9.994492530822754
robot,0.9722896814346313,8.887581825256348
rogue,0.9782218933105469,9.340739250183105
romantic,0.9823344349861145,9.840203285217285
saboteur,0.9864943027496338,9.722772598266602
sage,0.9912818074226379,9.944371223449707
scheduler,0.9852352142333984,9.536469459533691
scholar,0.9868205785751343,9.731524467468262
scientist,0.9837090969085693,9.496710777282715
scout,0.9921014904975891,9.647324562072754
screener,0.9851208925247192,9.75815200805664
secretary,0.9843725562095642,9.591256141662598
shaman,0.9774165153503418,9.704548835754395
shapeshifter,0.9905098080635071,9.663010597229004
simulacrum,0.9874615669250488,9.987798690795898
skeptic,0.9825057983398438,9.72463607788086
smuggler,0.9722259044647217,9.597430229187012
sociologist,0.9862527847290039,10.02321720123291
soldier,0.9873910546302795,9.72530460357666
sommelier,0.9862602949142456,9.511944770812988
specialist,0.9858657717704773,9.334770202636719
spirit,0.9821085929870605,9.777002334594727
spy,0.9844825267791748,9.596542358398438
statistician,0.9806788563728333,9.550756454467773
stoic,0.9830729961395264,10.02787971496582
strategist,0.9877393245697021,9.51870346069336
student,0.9899172782897949,9.868535041809082
summarizer,0.98590087890625,9.59897518157959
supervisor,0.9846084117889404,9.813048362731934
surfer,0.9736552238464355,9.333077430725098
survivor,0.9881268739700317,9.991287231445312
swarm,0.9878313541412354,9.661121368408203
symbiont,0.9851136803627014,10.005289077758789
synthesizer,0.9956039786338806,9.59247875213623
teacher,0.9893084764480591,9.409280776977539
technologist,0.9909329414367676,9.676284790039062
teenager,0.960048496723175,9.674100875854492
theorist,0.984526515007019,9.715667724609375
therapist,0.9853196144104004,9.853041648864746
toddler,0.888563871383667,9.391263961791992
traditionalist,0.9760253429412842,10.283504486083984
trainer,0.9850627779960632,9.36543083190918
translator,0.9865656495094299,9.928662300109863
tree,0.9712154269218445,9.63498592376709
trickster,0.9510672092437744,9.050867080688477
tulpa,0.9892523884773254,9.7447509765625
tutor,0.9898084402084351,9.36180305480957
validator,0.9841930866241455,9.542909622192383
vampire,0.9710744619369507,9.40005111694336
vegan,0.9853247404098511,9.75748348236084
veteran,0.9900752305984497,9.7281494140625
veterinarian,0.9886500835418701,9.613468170166016
vigilante,0.9814229011535645,9.860876083374023
virtuoso,0.9931010007858276,9.662558555603027
virus,0.9819597005844116,9.696758270263672
visionary,0.9903469085693359,9.840116500854492
void,0.9724010229110718,9.85317325592041
wanderer,0.984605610370636,9.970636367797852
warrior,0.9858815670013428,9.666282653808594
whale,0.9868471026420593,9.633010864257812
widow,0.9777178764343262,9.931036949157715
wind,0.9644075632095337,9.664680480957031
witch,0.9749378561973572,9.371349334716797
witness,0.9912346601486206,9.876616477966309
workaholic,0.9688593149185181,9.961923599243164
wraith,0.9728854298591614,9.491985321044922
writer,0.9946288466453552,9.52609920501709
zealot,0.9686495065689087,9.754643440246582
zeitgeist,0.9879136681556702,9.937000274658203
