role_norm,parallel_norm,perp_norm,cos_with_daa,angle_deg,perp_frac,role,steered_score_alpha_1.0,assistant_axis_score_alpha_1.0,advantage_alpha_1.0,steered_score_alpha_1.5,assistant_axis_score_alpha_1.5,advantage_alpha_1.5,steered_score_alpha_2.0,assistant_axis_score_alpha_2.0,advantage_alpha_2.0,steered_score_alpha_2.5,assistant_axis_score_alpha_2.5,advantage_alpha_2.5
3.1571640968322754,0.8047819137573242,3.0528693199157715,-0.2549065947532654,75.2319494763053,0.9669657,amateur,65.50877192982456,63.14912280701754,2.3596491228070176,76.64473684210526,69.64473684210526,7.0,84.7719298245614,57.56578947368421,27.20614035087719,89.09649122807018,27.67543859649123,61.421052631578945
3.9017210006713867,0.8997576832771301,3.7965593338012695,-0.230605348944664,76.66728622065767,0.9730474,ambassador,69.85087719298245,71.03070175438596,-1.1798245614035088,70.41228070175438,70.90350877192982,-0.49122807017543857,69.12280701754386,50.68421052631579,18.43859649122807,64.94736842105263,14.342105263157896,50.60526315789474
4.110605716705322,1.2278757095336914,3.9229328632354736,-0.2987091541290283,72.61991157801758,0.9543442,amnesiac,39.49561403508772,37.28947368421053,2.206140350877193,46.271929824561404,43.166666666666664,3.1052631578947367,63.51315789473684,42.31140350877193,21.20175438596491,79.15350877192982,26.38157894736842,52.771929824561404
3.5320723056793213,0.7162215709686279,3.458693742752075,-0.20277658104896545,78.30062690932105,0.97922504,analyst,86.3201754385965,85.9342105263158,0.38596491228070173,85.31140350877193,82.69298245614036,2.6184210526315788,84.50877192982456,54.62280701754386,29.885964912280702,81.89035087719299,17.960526315789473,63.92982456140351
3.87617826461792,0.9000162482261658,3.77024245262146,-0.23219165205955505,76.57386211656484,0.97267,anarchist,30.385964912280702,30.70614035087719,-0.3201754385964912,36.57017543859649,34.01315789473684,2.557017543859649,45.64912280701754,28.982456140350877,16.666666666666668,57.3421052631579,15.043859649122806,42.29824561403509
3.9697999954223633,0.966913640499115,3.850245475769043,-0.2435673475265503,75.90281577775592,0.969884,ancient,42.99561403508772,44.6359649122807,-1.6403508771929824,44.26315789473684,48.1140350877193,-3.8508771929824563,47.98684210526316,40.04824561403509,7.93859649122807,51.083333333333336,11.614035087719298,39.469298245614034
4.345415115356445,0.9227811694145203,4.246305465698242,-0.21235744655132294,77.73945948425279,0.9771921,angel,65.93859649122807,66.99122807017544,-1.0526315789473684,72.46929824561404,71.49561403508773,0.9736842105263158,82.94298245614036,62.37719298245614,20.56578947368421,89.60087719298245,18.333333333333332,71.26754385964912
3.676177501678467,0.9377232193946838,3.554568290710449,-0.25508105754852295,75.22161175716062,0.96691966,anthropologist,61.75438596491228,60.86842105263158,0.8859649122807017,65.48684210526316,61.10087719298246,4.385964912280702,71.15789473684211,47.55701754385965,23.600877192982455,75.2280701754386,17.214912280701753,58.01315789473684
3.410332202911377,0.8074579238891602,3.3133633136749268,-0.23676815629005432,76.3041275149748,0.97156614,archaeologist,44.71491228070175,41.90350877192982,2.81140350877193,48.62719298245614,42.73245614035088,5.894736842105263,53.14035087719298,28.763157894736842,24.37719298245614,58.15350877192982,14.276315789473685,43.87719298245614
3.297189950942993,0.7830138206481934,3.2028660774230957,-0.23747913539409637,76.26219548864907,0.97139263,architect,54.61572052401747,56.1528384279476,-1.537117903930131,56.11353711790393,56.38864628820961,-0.27510917030567683,57.39737991266376,37.109170305676855,20.2882096069869,58.49561403508772,13.771929824561404,44.723684210526315
3.833324670791626,0.6695725917816162,3.7743942737579346,-0.1746715009212494,79.94045793578718,0.9846268,archivist,59.04824561403509,50.44298245614035,8.605263157894736,62.48684210526316,52.10526315789474,10.381578947368421,71.85526315789474,36.60526315789474,35.25,78.8640350877193,13.157894736842104,65.70614035087719
3.7969987392425537,1.0824917554855347,3.6394245624542236,-0.28509145975112915,73.43568434867254,0.9585003,artisan,56.49781659388646,55.60698689956332,0.8908296943231441,64.28384279475982,58.17903930131004,6.104803493449782,74.96943231441048,45.8471615720524,29.12227074235808,81.68859649122807,17.280701754385966,64.40789473684211
3.533341884613037,0.8280001282691956,3.434955596923828,-0.23433911800384521,76.44733074520376,0.9721549,ascetic,34.10964912280702,38.73684210526316,-4.62719298245614,37.04824561403509,42.925438596491226,-5.87719298245614,38.95614035087719,40.94736842105263,-1.9912280701754386,42.00438596491228,18.333333333333332,23.67105263157895
3.498568296432495,0.7706567645072937,3.4126336574554443,-0.22027775645256042,77.27465251481487,0.9754372,assistant,94.70614035087719,93.46052631578948,1.2456140350877194,94.29385964912281,91.05701754385964,3.236842105263158,92.82894736842105,60.95614035087719,31.87280701754386,89.46491228070175,18.394736842105264,71.0701754385965
4.37923526763916,1.1870452165603638,4.21528434753418,-0.2710622549057007,74.27251302103888,0.9625617,auctioneer,36.526315789473685,34.0,2.526315789473684,42.675438596491226,35.15350877192982,7.521929824561403,53.67982456140351,25.57456140350877,28.105263157894736,68.84210526315789,11.359649122807017,57.48245614035088
3.5493266582489014,0.7254006862640381,3.4744083881378174,-0.20437701046466827,78.2069677281646,0.97889227,auditor,62.728070175438596,63.12280701754386,-0.39473684210526316,63.64912280701754,65.15350877192982,-1.5043859649122806,65.04824561403508,45.469298245614034,19.57894736842105,67.60526315789474,13.114035087719298,54.49122807017544
4.169680595397949,1.2753262519836426,3.9698586463928223,-0.3058570921421051,72.1902639541184,0.9520774,avatar,55.44298245614035,55.276315789473685,0.16666666666666666,64.89035087719299,60.86842105263158,4.021929824561403,78.53508771929825,52.60964912280702,25.92543859649123,87.10526315789474,15.49561403508772,71.60964912280701
3.566101312637329,1.066632866859436,3.4028477668762207,-0.29910334944725037,72.5962438185159,0.9542207,bard,47.40350877192982,50.85526315789474,-3.4517543859649122,51.79824561403509,56.38157894736842,-4.583333333333333,59.71491228070175,59.98245614035088,-0.2675438596491228,68.56140350877193,18.460526315789473,50.10087719298246
4.524214744567871,1.3772059679031372,4.30950403213501,-0.3044077455997467,72.27746397966108,0.9525419,bartender,50.776315789473685,45.8640350877193,4.912280701754386,61.723684210526315,48.84649122807018,12.87719298245614,75.0657894736842,38.89035087719298,36.175438596491226,79.8157894736842,20.526315789473685,59.28947368421053
