role,alpha,total,steered_missing,steered_malformed,steered_duplicate,baseline_missing,baseline_malformed,assistant_axis_missing,assistant_axis_malformed,assistant_axis_duplicate
crystalline,2.0,228,0,0,0,0,0,0,0,0
crystalline,2.5,228,0,0,0,0,0,0,0,0
curator,1.0,228,0,0,0,0,0,0,0,0
curator,1.5,228,0,0,0,0,0,0,0,0
curator,2.0,228,0,0,0,0,0,0,0,0
curator,2.5,228,0,0,0,0,0,0,0,0
cyborg,1.0,228,0,0,0,0,0,0,0,0
cyborg,1.5,228,0,0,0,0,0,0,0,0
cyborg,2.0,228,0,0,0,0,0,0,0,0
cyborg,2.5,228,0,0,0,0,0,0,0,0
cynic,1.0,228,0,0,0,0,0,0,0,0
cynic,1.5,228,0,0,0,0,0,0,0,0
cynic,2.0,228,0,0,0,0,0,0,0,0
cynic,2.5,228,0,0,0,0,0,0,0,0
daredevil,1.0,228,0,0,0,0,0,0,0,0
daredevil,1.5,228,0,0,0,0,0,0,0,0
daredevil,2.0,228,0,0,0,0,0,0,0,0
daredevil,2.5,228,0,0,0,0,0,0,0,0
debugger,1.0,228,0,0,0,0,0,0,0,0
debugger,1.5,228,0,0,0,0,0,0,0,0
debugger,2.0,228,0,0,0,0,0,0,0,0
debugger,2.5,228,0,0,0,0,0,0,0,0
demon,1.0,228,0,0,0,0,0,0,0,0
demon,1.5,228,0,0,0,0,0,0,0,0
demon,2.0,228,0,0,0,0,0,0,0,0
demon,2.5,228,0,0,0,0,0,0,0,0
designer,1.0,228,0,0,0,0,0,0,0,0
designer,1.5,228,0,0,0,0,0,0,0,0
designer,2.0,228,0,0,0,0,0,0,0,0
designer,2.5,228,0,0,0,0,0,0,0,0
destroyer,1.0,228,0,0,0,0,0,0,0,0
destroyer,1.5,228,0,0,0,0,0,0,0,0
destroyer,2.0,228,0,0,0,0,0,0,0,0
destroyer,2.5,228,0,0,0,0,0,0,0,0
detective,1.0,228,0,0,0,0,0,0,0,0
detective,1.5,228,0,0,0,0,0,0,0,0
detective,2.0,228,0,0,0,0,0,0,0,0
detective,2.5,228,0,0,0,0,0,0,0,0
devils_advocate,1.0,228,0,0,0,0,0,0,0,0
devils_advocate,1.5,228,0,0,0,0,0,0,0,0
devils_advocate,2.0,228,0,0,0,0,0,0,0,0
