role,steered_score__alpha_1.0,cmp_emotional_register__alpha_1.0,cmp_vocab_choice__alpha_1.0,cmp_social_dynamic__alpha_1.0,cmp_motivation__alpha_1.0,cmp_worldview_alignment__alpha_1.0,steered_score__alpha_1.5,cmp_emotional_register__alpha_1.5,cmp_vocab_choice__alpha_1.5,cmp_social_dynamic__alpha_1.5,cmp_motivation__alpha_1.5,cmp_worldview_alignment__alpha_1.5,steered_score__alpha_2.0,cmp_emotional_register__alpha_2.0,cmp_vocab_choice__alpha_2.0,cmp_social_dynamic__alpha_2.0,cmp_motivation__alpha_2.0,cmp_worldview_alignment__alpha_2.0,steered_score__alpha_2.5,cmp_emotional_register__alpha_2.5,cmp_vocab_choice__alpha_2.5,cmp_social_dynamic__alpha_2.5,cmp_motivation__alpha_2.5,cmp_worldview_alignment__alpha_2.5
shaman,32.12280701754386,23.464912280701753,26.68859649122807,26.18421052631579,32.80701754385965,20.24122807017544,38.85964912280702,29.86842105263158,30.67982456140351,31.337719298245613,39.3859649122807,27.07456140350877,53.578947368421055,40.98684210526316,38.00438596491228,40.6140350877193,49.4078947368421,37.9078947368421,74.09649122807018,60.24122807017544,55.57017543859649,57.85087719298246,64.21052631578948,56.96052631578947
shapeshifter,44.98684210526316,41.38157894736842,49.49561403508772,42.98245614035088,47.76315789473684,40.10964912280702,52.46052631578947,46.14035087719298,53.50877192982456,47.60964912280702,53.24561403508772,46.6578947368421,66.96491228070175,57.76315789473684,59.671052631578945,58.24561403508772,64.21052631578948,58.73245614035088,83.74122807017544,71.05263157894737,69.47368421052632,69.53947368421052,73.96929824561404,70.5657894736842
simulacrum,67.8640350877193,52.10526315789474,66.68859649122807,57.44736842105263,62.69736842105263,56.76315789473684,76.82894736842105,58.99122807017544,68.85964912280701,60.921052631578945,67.55701754385964,62.19298245614035,86.95614035087719,69.23245614035088,72.28070175438596,68.59649122807018,75.17543859649123,70.88157894736842,93.4298245614035,78.7280701754386,77.71052631578948,76.33771929824562,80.57894736842105,78.0701754385965
skeptic,58.328947368421055,38.75,55.219298245614034,43.1140350877193,43.20175438596491,38.99122807017544,62.074561403508774,43.925438596491226,55.81140350877193,46.99561403508772,47.39035087719298,43.26754385964912,65.91228070175438,47.56578947368421,56.29385964912281,49.25438596491228,53.46491228070175,48.64035087719298,70.79385964912281,50.96491228070175,55.76754385964912,51.62280701754386,59.1359649122807,54.526315789473685
smuggler,28.785087719298247,22.36842105263158,24.86842105263158,20.614035087719298,29.29824561403509,21.25,39.219298245614034,31.666666666666668,33.04824561403509,29.05701754385965,39.4078947368421,31.973684210526315,64.5,50.13157894736842,50.6578947368421,48.1578947368421,59.10087719298246,52.82017543859649,80.9298245614035,62.69736842105263,62.828947368421055,61.00877192982456,68.20175438596492,64.47368421052632
sociologist,73.14912280701755,65.59210526315789,70.04385964912281,64.83333333333333,69.04824561403508,64.70175438596492,75.33333333333333,67.93859649122807,67.96052631578948,66.00877192982456,71.07456140350877,67.09649122807018,75.05701754385964,67.67543859649123,64.78070175438596,65.04385964912281,71.64473684210526,67.19298245614036,76.64035087719299,64.21052631578948,58.28947368421053,59.978070175438596,68.35526315789474,62.719298245614034
soldier,44.530701754385966,28.859649122807017,32.916666666666664,24.583333333333332,41.18421052631579,31.79824561403509,54.83771929824562,37.74122807017544,38.17982456140351,31.55701754385965,49.45175438596491,40.416666666666664,69.87719298245614,51.95175438596491,48.90350877192982,44.75877192982456,61.68859649122807,53.969298245614034,77.94736842105263,56.29385964912281,51.9078947368421,49.89035087719298,64.01315789473684,57.35964912280702
sommelier,22.982456140350877,44.95614035087719,47.56578947368421,44.276315789473685,46.6359649122807,41.06140350877193,24.32894736842105,46.55701754385965,46.11842105263158,44.25438596491228,47.89473684210526,42.666666666666664,27.521929824561404,49.89035087719298,45.37280701754386,46.73245614035088,52.25,46.12719298245614,29.657894736842106,50.74561403508772,43.333333333333336,46.60087719298246,51.030701754385966,44.96052631578947
specialist,88.61842105263158,71.57894736842105,74.53947368421052,70.0,78.20175438596492,75.01754385964912,87.91666666666667,71.95175438596492,72.96052631578948,69.23245614035088,79.19298245614036,75.89473684210526,85.3157894736842,67.5219298245614,66.62280701754386,64.62719298245614,77.03947368421052,72.4342105263158,79.65789473684211,59.276315789473685,56.09649122807018,56.55701754385965,69.89035087719299,64.84649122807018
spirit,43.54824561403509,22.54385964912281,31.55701754385965,26.20614035087719,36.074561403508774,24.539473684210527,51.31578947368421,29.517543859649123,36.20614035087719,31.11842105263158,42.03947368421053,30.657894736842106,63.81140350877193,40.921052631578945,43.969298245614034,42.03947368421053,51.75438596491228,42.00877192982456,84.26754385964912,60.5921052631579,60.276315789473685,58.969298245614034,66.2719298245614,60.219298245614034
spy,32.83771929824562,25.153508771929825,33.574561403508774,24.276315789473685,30.06578947368421,23.223684210526315,37.33771929824562,30.482456140350877,37.34649122807018,28.486842105263158,36.578947368421055,28.50877192982456,50.10964912280702,42.43421052631579,45.89912280701754,39.32017543859649,49.4078947368421,41.31578947368421,69.5657894736842,54.473684210526315,54.978070175438596,51.469298245614034,60.921052631578945,54.44298245614035
statistician,60.70614035087719,57.21491228070175,61.68859649122807,55.74561403508772,58.574561403508774,55.3421052631579,61.43859649122807,56.73245614035088,59.671052631578945,56.20614035087719,59.71491228070175,55.43859649122807,62.14473684210526,55.021929824561404,55.175438596491226,53.75,59.671052631578945,55.95614035087719,63.083333333333336,51.578947368421055,49.51754385964912,50.54824561403509,59.69298245614035,55.0
stoic,48.583333333333336,21.513157894736842,49.62719298245614,37.69736842105263,37.98245614035088,27.403508771929825,53.26754385964912,25.13157894736842,51.79824561403509,40.87719298245614,42.324561403508774,31.973684210526315,60.675438596491226,32.675438596491226,53.85964912280702,46.16228070175438,49.3421052631579,40.10087719298246,66.3201754385965,37.280701754385966,51.49122807017544,47.675438596491226,54.42982456140351,45.57017543859649
strategist,82.68859649122807,69.53947368421052,72.69736842105263,67.21491228070175,73.60087719298245,70.52631578947368,82.62280701754386,69.80263157894737,69.9780701754386,66.90789473684211,74.80263157894737,70.78070175438596,81.85087719298245,67.65350877192982,66.00877192982456,64.40789473684211,73.1359649122807,69.75,77.64473684210526,58.83771929824562,54.60526315789474,54.93421052631579,66.38157894736842,61.469298245614034
