role,steered_peak_alpha,steered_peak_score,aa_peak_alpha,aa_peak_score,peak_advantage,steered_wins
poet,2.5,65.02631578947368,2.0,60.25438596491228,4.771929824561404,True
polymath,1.5,87.22368421052632,1.0,85.3859649122807,1.8377192982456165,True
pragmatist,2.5,86.62008733624454,1.5,75.24454148471615,11.375545851528386,True
predator,2.5,64.19736842105263,1.5,15.030701754385966,49.166666666666664,True
presenter,2.0,88.02631578947368,1.0,75.9342105263158,12.09210526315789,True
prey,2.5,81.65789473684211,1.5,35.73684210526316,45.92105263157895,True
prisoner,2.5,63.1140350877193,1.5,30.140350877192983,32.973684210526315,True
procrastinator,2.5,70.90350877192982,2.0,52.07456140350877,18.828947368421055,True
prodigy,2.0,84.21052631578948,1.0,13.81578947368421,70.39473684210527,True
producer,2.0,76.96929824561404,1.5,70.86842105263158,6.100877192982466,True
programmer,2.0,69.68859649122807,1.0,17.346491228070175,52.34210526315789,True
proofreader,2.5,49.27192982456141,1.5,52.41666666666666,-3.144736842105246,False
prophet,2.5,84.26754385964912,1.5,46.82017543859649,37.44736842105263,True
provincial,2.5,79.50877192982456,2.0,50.31140350877193,29.19736842105263,True
provocateur,2.5,78.80263157894737,2.0,38.15350877192982,40.64912280701755,True
psychologist,1.0,70.08333333333333,1.0,18.59649122807017,51.48684210526316,True
publisher,2.5,68.25,1.0,55.98245614035088,12.267543859649123,True
purist,2.5,77.5219298245614,1.5,65.5701754385965,11.951754385964904,True
realist,2.0,87.65350877192982,1.0,18.837719298245613,68.8157894736842,True
rebel,2.5,63.12280701754386,2.0,46.22368421052632,16.89912280701754,True
recruiter,2.0,66.39035087719299,1.5,64.4780701754386,1.9122807017543835,True
refugee,2.5,57.15350877192982,1.5,33.91228070175438,23.24122807017544,True
reporter,2.0,81.96052631578948,1.5,62.88157894736842,19.078947368421062,True
researcher,1.5,87.4780701754386,1.0,16.38157894736842,71.09649122807018,True
retiree,2.5,66.71052631578948,1.5,51.20175438596491,15.508771929824569,True
revenant,2.5,37.60087719298246,2.0,12.557017543859647,25.043859649122812,True
reviewer,1.0,88.53508771929825,1.0,87.37719298245614,1.1578947368421098,True
revolutionary,2.5,69.69298245614036,2.0,55.578947368421055,14.114035087719301,True
robot,1.0,87.12719298245614,1.0,84.54824561403508,2.578947368421055,True
rogue,2.5,82.81140350877193,1.5,28.20614035087719,54.60526315789474,True
romantic,2.5,49.15350877192982,2.0,50.81140350877193,-1.6578947368421098,False
saboteur,2.5,60.39035087719298,1.5,23.09210526315789,37.29824561403509,True
sage,1.5,79.75,1.5,83.26315789473684,-3.5131578947368354,False
scheduler,2.0,56.70614035087719,1.5,58.31140350877193,-1.6052631578947398,False
scholar,1.0,89.05701754385964,1.0,88.69736842105263,0.35964912280701355,True
scientist,1.0,81.44978165938865,1.0,54.89519650655022,26.554585152838428,True
scout,2.5,81.40789473684211,1.5,44.16666666666666,37.24122807017545,True
screener,2.5,75.74561403508773,1.0,77.15350877192982,-1.4078947368420955,False
secretary,1.5,62.60964912280702,1.5,66.28947368421052,-3.6798245614034997,False
shaman,2.5,74.09649122807018,1.5,37.75438596491228,36.3421052631579,True
shapeshifter,2.5,83.74122807017544,1.5,43.6578947368421,40.083333333333336,True
simulacrum,2.5,93.4298245614035,1.5,65.59210526315789,27.837719298245617,True
skeptic,2.5,70.79385964912281,1.5,59.34649122807018,11.44736842105263,True
smuggler,2.5,80.9298245614035,1.5,27.285087719298247,53.64473684210526,True
sociologist,2.5,76.64035087719299,1.0,14.605263157894736,62.03508771929825,True
soldier,2.5,77.94736842105263,1.5,43.88157894736842,34.06578947368421,True
sommelier,2.5,29.657894736842103,1.5,24.157894736842103,5.5,True
specialist,1.0,88.61842105263158,1.0,90.359649122807,-1.7412280701754241,False
spirit,2.5,84.26754385964912,1.5,50.78508771929825,33.48245614035088,True
spy,2.5,69.5657894736842,1.5,30.657894736842103,38.9078947368421,True
statistician,2.5,63.083333333333336,1.0,56.078947368421055,7.004385964912281,True
stoic,2.5,66.3201754385965,1.5,54.03508771929825,12.285087719298247,True
strategist,1.0,82.68859649122807,1.0,19.80263157894737,62.8859649122807,True
student,2.5,83.4298245614035,1.0,19.407894736842103,64.0219298245614,True
summarizer,1.0,80.69298245614036,1.0,81.3157894736842,-0.6228070175438489,False
supervisor,1.0,82.71052631578948,1.0,84.3157894736842,-1.6052631578947256,False
surfer,2.5,56.85526315789474,1.5,35.81578947368421,21.039473684210527,True
survivor,2.5,66.72368421052632,1.5,49.37280701754386,17.350877192982452,True
swarm,2.5,88.57894736842105,1.5,66.0219298245614,22.557017543859658,True
symbiont,2.5,91.6842105263158,1.5,46.583333333333336,45.10087719298246,True
synthesizer,2.5,85.93859649122807,1.0,65.0219298245614,20.91666666666667,True
teacher,1.0,90.58333333333331,1.0,22.28070175438597,68.30263157894734,True
technologist,2.5,80.53947368421052,1.5,74.50438596491227,6.035087719298247,True
teenager,2.5,69.71491228070175,1.5,39.71052631578947,30.00438596491228,True
theorist,2.0,86.37719298245614,1.0,85.78947368421052,0.5877192982456165,True
therapist,2.5,72.15350877192982,1.0,22.609649122807017,49.54385964912281,True
toddler,2.5,18.56140350877193,2.5,22.5,-3.9385964912280684,False
traditionalist,2.5,69.73684210526316,1.5,56.62719298245614,13.109649122807028,True
trainer,1.5,87.90350877192982,1.0,78.48684210526316,9.416666666666657,True
translator,2.5,53.32456140350877,1.0,14.62719298245614,38.69736842105263,True
