O*NET-SOC Code	Element Name
19-1029.01	Speaking
19-1029.01	Critical Thinking
19-1029.01	Complex Problem Solving
19-1029.04	Reading Comprehension
19-1029.04	Active Listening
19-1029.04	Writing
19-1029.04	Speaking
19-1029.04	Science
19-1031.02	Reading Comprehension
19-1031.02	Active Listening
19-1031.02	Speaking
19-1031.02	Critical Thinking
19-1031.02	Monitoring
19-1031.03	Reading Comprehension
19-1031.03	Active Listening
19-1031.03	Writing
19-1031.03	Speaking
19-1031.03	Social Perceptiveness
19-1032.00	Reading Comprehension
19-1032.00	Active Listening
19-1032.00	Speaking
19-1032.00	Critical Thinking
19-1032.00	Complex Problem Solving
19-1042.00	Reading Comprehension
19-1042.00	Writing
19-1042.00	Speaking
19-1042.00	Science
19-1042.00	Active Learning
19-2012.00	Reading Comprehension
19-2012.00	Speaking
19-2012.00	Mathematics
19-2012.00	Science
19-2012.00	Critical Thinking
19-2031.00	Reading Comprehension
19-2031.00	Active Listening
19-2031.00	Speaking
19-2031.00	Science
19-2031.00	Critical Thinking
19-2041.00	Reading Comprehension
19-2041.00	Active Listening
19-2041.00	Writing
19-2041.00	Speaking
19-2041.00	Science
19-3034.00	Reading Comprehension
19-3034.00	Active Listening
19-3034.00	Writing
19-3034.00	Speaking
19-3034.00	Critical Thinking
19-3093.00	Reading Comprehension
19-3093.00	Active Listening
19-3093.00	Writing
19-3093.00	Speaking
19-3093.00	Critical Thinking
19-4012.00	Reading Comprehension
19-4012.00	Active Listening
19-4012.00	Writing
19-4012.00	Critical Thinking
19-4012.00	Active Learning
19-4013.00	Reading Comprehension
19-4013.00	Active Listening
19-4013.00	Writing
19-4013.00	Speaking
19-4013.00	Science
19-4021.00	Reading Comprehension
19-4021.00	Active Listening
19-4021.00	Science
19-4021.00	Critical Thinking
19-4021.00	Active Learning
19-4031.00	Reading Comprehension
19-4031.00	Active Listening
19-4031.00	Writing
19-4031.00	Science
19-4031.00	Critical Thinking
19-4051.02	Reading Comprehension
19-4051.02	Active Listening
19-4051.02	Critical Thinking
19-4051.02	Monitoring
19-4051.02	Operations Monitoring
19-4061.00	Reading Comprehension
19-4061.00	Active Listening
19-4061.00	Writing
19-4061.00	Speaking
19-4061.00	Critical Thinking
19-4071.00	Reading Comprehension
19-4071.00	Active Listening
19-4071.00	Speaking
19-4071.00	Critical Thinking
19-4071.00	Judgment and Decision Making
19-4092.00	Reading Comprehension
19-4092.00	Active Listening
19-4092.00	Writing
19-4092.00	Speaking
19-4092.00	Critical Thinking
19-4099.01	Reading Comprehension
19-4099.01	Active Listening
